Wavelength(λ)	Voltage(V)	EQE(%)	SR(A/W)	GratingIndex(#)	FilterIndex(#)
299.999	1.4308285E-005	1.95	4.7234462E-003	0	2
309.996	3.6834753E-005	3.92	9.8119565E-003	0	2
320.000	1.2610147E-004	11.50	2.9685972E-002	0	2
330.009	3.4762125E-004	27.49	7.3160144E-002	0	2
340.003	6.1231116E-004	40.41	1.1079811E-001	0	2
350.001	8.1882959E-004	45.08	1.2725027E-001	0	2
359.996	1.2075346E-003	46.67	1.3549471E-001	1	2
369.992	1.3429649E-003	50.09	1.4947151E-001	1	2
379.991	1.6823521E-003	55.63	1.7048180E-001	1	2
389.992	2.2524044E-003	60.70	1.9090998E-001	1	2
399.995	2.7936058E-003	64.33	2.0752805E-001	1	2
409.999	3.2450488E-003	67.64	2.2364039E-001	1	2
420.004	3.6391916E-003	70.24	2.3792352E-001	1	2
430.008	3.9853392E-003	72.50	2.5142976E-001	1	2
439.992	4.4366452E-003	74.65	2.6488582E-001	1	2
449.995	5.0674228E-003	76.47	2.7752130E-001	1	2
459.996	6.2156717E-003	77.72	2.8833028E-001	1	2
469.995	6.5592818E-003	78.40	2.9715205E-001	1	2
480.010	5.8189869E-003	79.30	3.0696832E-001	1	2
490.001	5.4883215E-003	80.12	3.1658894E-001	1	2
500.008	5.2576431E-003	80.86	3.2606555E-001	1	2
509.990	5.2091146E-003	81.54	3.3536621E-001	1	2
520.006	5.2659089E-003	82.10	3.4429237E-001	1	2
529.996	5.2933506E-003	82.72	3.5356461E-001	1	2
539.998	5.2810585E-003	82.69	3.6009525E-001	1	2
549.992	5.2225710E-003	82.19	3.6452773E-001	1	2
559.998	4.9184903E-003	83.17	3.7558780E-001	1	3
569.994	4.8513059E-003	83.38	3.8329216E-001	1	3
579.999	4.8252508E-003	83.49	3.9052279E-001	1	3
589.994	4.6815718E-003	83.58	3.9769911E-001	1	3
599.996	4.3884056E-003	83.77	4.0535153E-001	1	3
610.005	4.3328644E-003	83.77	4.1208669E-001	1	3
620.001	4.3543956E-003	83.65	4.1827579E-001	1	3
630.002	4.0801697E-003	83.76	4.2553343E-001	1	3
640.007	3.8202713E-003	83.70	4.3202793E-001	1	3
649.997	3.6838982E-003	83.80	4.3925240E-001	1	3
660.008	3.4783544E-003	83.72	4.4563638E-001	1	3
670.002	3.4279194E-003	83.36	4.5039398E-001	1	3
679.996	3.5654286E-003	83.63	4.5863705E-001	1	3
690.009	3.4811926E-003	83.23	4.6312078E-001	1	3
700.002	2.8528036E-003	82.90	4.6799659E-001	1	3
709.992	3.0220178E-003	83.38	4.7739181E-001	1	3
719.997	2.7367930E-003	83.29	4.8361612E-001	1	3
729.998	2.8057638E-003	83.32	4.9053939E-001	1	3
739.993	2.6704618E-003	82.97	4.9515439E-001	1	3
750.000	2.4072704E-003	83.04	5.0225040E-001	1	3
759.999	2.9817203E-003	83.22	5.1003139E-001	1	3
770.007	2.4622604E-003	82.56	5.1265246E-001	1	3
780.004	1.8647851E-003	83.05	5.2239512E-001	1	3
790.009	2.0093496E-003	83.30	5.3073747E-001	1	3
800.000	1.8992194E-003	82.18	5.3019427E-001	1	3
809.996	2.0525338E-003	83.49	5.4537785E-001	1	3
819.994	8.9575664E-003	83.06	5.4927661E-001	1	3
829.994	7.6168345E-003	81.70	5.4688479E-001	1	3
839.993	2.7059560E-003	82.00	5.5548347E-001	1	3
850.007	1.0241779E-003	81.05	5.5561375E-001	1	3
860.001	1.1490097E-003	82.27	5.7060159E-001	1	3
870.007	2.5043629E-003	82.81	5.8099416E-001	1	3
880.006	9.3373192E-003	80.89	5.7408975E-001	1	4
889.997	6.7986356E-003	80.32	5.7647610E-001	1	4
899.995	6.3932539E-003	80.54	5.8453019E-001	1	4
909.998	6.5945627E-003	80.55	5.9114670E-001	1	4
920.005	5.8620004E-003	79.49	5.8977384E-001	1	4
929.996	2.5798709E-003	81.11	6.0834979E-001	1	4
940.003	4.2732874E-003	80.69	6.1169524E-001	1	4
950.007	4.1457854E-003	79.81	6.1142671E-001	1	4
960.006	1.8157286E-003	79.16	6.1287921E-001	1	4
969.998	3.2306858E-003	77.75	6.0818811E-001	1	4
979.996	5.6996966E-003	75.70	5.9826008E-001	1	4
989.999	5.9290737E-003	72.11	5.7571635E-001	1	4
1000.003	2.1175362E-003	68.47	5.5215085E-001	1	4
1010.006	1.7438923E-003	62.84	5.1183925E-001	1	4
1020.005	7.7143952E-004	56.60	4.6554705E-001	1	4
1029.997	4.6391157E-004	47.53	3.9480197E-001	1	4
